Speech;Timestamp
Dakle, na ovom prošnom slajdu smo imali jedan primjer koji će se često pojavljivati.;0:00:00 - 0:00:10.700000
Dakle, imamo dvije strukture i onda zapravo homomorfizam nije;0:00:10.700000 - 0:00:15.500000
nekako stvarno, da tako kažem, praslikavanje gdje ja uzmem broj 3;0:00:15.500000 - 0:00:20
pa ga praslikamo u broj 7, nego uzmem broj 3 pa ga praslikamo u isto broj 3.;0:00:20 - 0:00:24.500000
Dakle, nekako imam, htio bih reći da je ova N svakako podskupodze,;0:00:24.500000 - 0:00:29
ali ne samo da je podskup, nego ono što smo rekli, dakle,;0:00:29 - 0:00:32
za bilo kakav neologički simbol, ono što vrijedi ovdje, vrijedi i ovdje.;0:00:32 - 0:00:37.500000
Naravno, ne u suprtnom smjeru jer za nekakve atomarne formule;0:00:37.500000 - 0:00:43
se može dogoditi da jednostavno nemam interpretacije u ovom manjem skupu;0:00:43 - 0:00:50.500000
koje imam u većem, ali nekako ako tu imam nekakva dva broja, 3 i 7,;0:00:50.500000 - 0:00:57
i njihov, ne znam, zbroj je 10, onda će njihov zbroj i ovdje biti 10.;0:00:57 - 0:01:01.500000
Dakle, takvu vezu između dvije strukture zapravo zovemo podmodel.;0:01:01.500000 - 0:01:07
Htjeli bih smo zapravo reći podstruktura, ali opet niko tak ne govori.;0:01:07 - 0:01:11.500000
Kaže se jednostavno da je jedna struktura podmodel druge strukture;0:01:11.500000 - 0:01:15.500000
ili u drugom smjeru da je N proširenje od M.;0:01:15.500000 - 0:01:19
Piše se ovaj standardni znak za podskup jer na kraju krajeva to jest isti taj odnos,;0:01:19 - 0:01:24.500000
samo naravno ne u kategoriji skupova nego u kategoriji struktura prvog reda.;0:01:24.500000 - 0:01:29
Ako vrijedi ono što biste očekivali, dakle, na nosačima vrijedi upravo podskup.;0:01:30 - 0:01:35
Ovaj tu lijevi, ovaj manji nosač sam označio sa M čisto da mogu lakše opisati;0:01:35 - 0:01:41.500000
što se zbiva sa nelogičkim simbolima.;0:01:41.500000 - 0:01:45
A što se zbiva? Dakle, naravno konstantki simboli su jednaki,;0:01:45 - 0:01:49
to je ono što baš hoću, dakle, nekako ako mi oznaka 3 predstavlja broj 3,;0:01:49.500000 - 0:01:57
onda hoću da predstavlja broj 3 i u onom drugom modelu u ovom proširenju.;0:01:57 - 0:02:02.500000
Dakle, to sigurno. Ovo isto jer nekako, mislim, sad ja sam rekao;0:02:05.500000 - 0:02:10.500000
više u smjeru ovog pralazka sa manje strukture na veću,;0:02:10.500000 - 0:02:15.500000
ali možda je lakše razmišljati kako pralazim sa veća na manju,;0:02:16 - 0:02:19
tako da jednostavno restringiram funkciju.;0:02:19 - 0:02:21
Uzmem interpretaciju funkcije u većoj strukturi i restringiram je;0:02:21 - 0:02:27
na manju strukturu, dakle, naravno na mjesnost i dobijem time;0:02:27 - 0:02:33
upravo interpretaciju funkcije u manjoj strukturi.;0:02:33 - 0:02:36
Dakle, na primjer, što ja znam? Množenje prirodnih brojeva;0:02:36 - 0:02:39
je upravo restrikcija množenja cijelih brojeva na n puta n.;0:02:39 - 0:02:44
I naravno, relaciju samo presjećem sa m na n.;0:02:45 - 0:02:48.500000
To neki isto zovu restrikcije relacije, ali ja bih rekao da je lakše;0:02:48.500000 - 0:02:52.500000
razmišljati o tome kao presjeku. Mislim, stvarno nije ista vrsta operacije;0:02:52.500000 - 0:02:56
kao i ova restrikcija funkcije, a već imamo lijepo ime za to;0:02:56 - 0:02:59.500000
i to ime je presjek. Uzmem jednostavno relacija manje;0:02:59.500000 - 0:03:03
ili jednako na z. Kad je presječem sa n puta n,;0:03:03 - 0:03:07.500000
dobijem upravo relaciju manje ili jednako na n.;0:03:07.500000 - 0:03:10.500000
Ako to troje vrijedi i još vrijedi inkluzija među nosačima,;0:03:11.500000 - 0:03:16
onda kažem da je n pod model od n ili da je n proširenje od n.;0:03:16 - 0:03:20
Naravno, ovo tu sad priča o konkretnim neologijskim simbolima,;0:03:21 - 0:03:25
ali zapravo ovo vrijedi puno više. Dakle, indukcijom po izgradnji terma;0:03:25 - 0:03:29
se može dokazati da onda svaki term ima istu vrijednost.;0:03:29 - 0:03:33
Dakle, kad se nekako, možemo reći, term se izračuna;0:03:33 - 0:03:36
kao da imam 2 plus 3 puta 1 ili što već, to će biti 5.;0:03:36 - 0:03:44
I bit će 5, bez obzira na to računao ja to kao cijeli broj;0:03:44.500000 - 0:03:48.500000
ili kao prirodni broj.;0:03:48.500000 - 0:03:54
To kaže ova tvrdnja A. A tvrdnja B onda kaže,;0:03:55 - 0:03:58
naravno, kad imaš bilo kakvu otvorenu formulu,;0:03:58 - 0:04:00
dakle, za početak atomarnu, a onda i logičke veznike to čuva,;0:04:00 - 0:04:03.500000
vrijedi ekvivalencija, s obzirom na fiksnu valuaciju.;0:04:04.500000 - 0:04:10
Naravno, ta otvorena formula smije imat slobodne varijable,;0:04:10 - 0:04:13
ali ne smije imat plantifikator, ali onda moram reći kako se varijable valuiraju.;0:04:13 - 0:04:20
I ako se valuiraju jednako, znači, ja imam šta da znam,;0:04:20 - 0:04:23
2x, ok, v od x je 3, onda 2x u strukturi N je isto što i 2x u strukturi Z,;0:04:23 - 0:04:33
i jedno i drugo je 6.;0:04:33.500000 - 0:04:35.500000
To je ova priča o termijima, a sad kažem što se tiče formule.;0:04:38.500000 - 0:04:41.500000
Naravno, znači, ako imam šta da znam, x je manje ili jednako 5 u N,;0:04:41.500000 - 0:04:48
ako i samo ako x je manje ili jednako 5 u Z.;0:04:48.500000 - 0:04:54.500000
Naravno, to je samo za otvorene formule.;0:04:55.500000 - 0:04:58
Opet, plantifikatori mogu pobrgati stvari, ali dokaz je sasvim jasno,;0:04:58 - 0:05:02.500000
a dokaz je isti kao i u onom primjeru.;0:05:03 - 0:05:05
Jednostavno, sama inkluzija između M i N je,;0:05:05 - 0:05:08
jest jaki homomorfizam i iz toga onda sve ovo slijedi.;0:05:08 - 0:05:12
Dobro, e sad, šta još imam?;0:05:14 - 0:05:17
Kad imam, znači, rekli smo homomorfizam, ima neka svojstva,;0:05:19 - 0:05:23
ali najčešće nisu dovoljna, onda ga mogu pojačati,;0:05:23 - 0:05:26
mogu reći jaki homomorfizam, to je onda malo bolje,;0:05:26 - 0:05:29.500000
ali još uvijek ne mora nužno biti.;0:05:30 - 0:05:33
Doboljno dobro. Ponekad želim jaki homomorfizam koji je injekcija.;0:05:35 - 0:05:38.500000
To je ono što se obišno zove u matematičkim,;0:05:38.500000 - 0:05:41
u algebri, na primjer, smještenje, embedding.;0:05:41 - 0:05:43.500000
Dakle, imam jednu strukturu i smjestim je,;0:05:43.500000 - 0:05:46
representiram je unutar druge strukture.;0:05:46 - 0:05:48
Onda, naravno, želim da to smještenje bude injekcija,;0:05:48 - 0:05:50.500000
jer želim moć razlikovati elemente od kojih sam krenuo.;0:05:50.500000 - 0:05:53.500000
Dakle, kad bih nekako stavio N unutar Z,;0:05:53.500000 - 0:05:57.500000
a da pritom slijepim 3 i 7, onda na onoj tamo strani;0:05:58 - 0:06:02
ne bih nekako mogao više razlikovati 3 i 7.;0:06:02 - 0:06:05.500000
Primijetite samo da ovo nije dodatno svojstvo da je injekcija.;0:06:06.500000 - 0:06:12
Je dodatno svojstvo samo ako strukture nisu normalne.;0:06:12 - 0:06:15
Ako su strukture normalne, onda već činjenica da je;0:06:15 - 0:06:18.500000
jaki homomorfizam zapravo znači smještenje, jer,;0:06:18.500000 - 0:06:21.500000
sjetimo se, jaki homomorfizam zahtjeva ovdje u oba smjera.;0:06:21.500000 - 0:06:26
Za bilo koju relaciju, pa specijalno i za relaciju jednakosti.;0:06:26.500000 - 0:06:30
Znači za relacijski simbol koji je interpretiran jednakošću.;0:06:30 - 0:06:33
A onda tu zapravo piše X1 jednako je X2.;0:06:33 - 0:06:37
Ako i samo ako je, H od X1 jednako je H od X2.;0:06:37 - 0:06:40
To točno znači da je H injekcija.;0:06:40 - 0:06:43
Dakle, kažem, injektivnost je ponekad potrebno zasebno zahtjevat,;0:06:43 - 0:06:48
ali ako su strukture normalne, onda nikad nije.;0:06:48 - 0:06:52
Ovo sad piše napokon ta definicija normalnosti.;0:06:53 - 0:06:59
E, međutim, ono drugo što bi smo mogli zahtjevati je bijektivnost.;0:06:59 - 0:07:03
Dakle, činjenica je da ništa od ovoga što smo dosta navjeli,;0:07:03 - 0:07:08
nam nije rekla da su svi elementi u onom desnom pogođeni.;0:07:08 - 0:07:13
Dakle, ako to imamo još, imamo sujektivnost, onda to naravno zovemo izomorfizam.;0:07:13 - 0:07:18.500000
To je ono što zapravo opet odgovara u algebri pojmu izomorfizma;0:07:18.500000 - 0:07:23.500000
između dvije strukture. I naravno pišemo ovaj znakić za izomorfne strukture.;0:07:23.500000 - 0:07:28.500000
M je izomorfno sa N ako postoji izomorfizam između njih.;0:07:28.500000 - 0:07:32.500000
Ovo je sad samo, više manje ponavljanje,;0:07:34.500000 - 0:07:37.500000
čisto da se vidi jeste li ulovili riječi.;0:07:37.500000 - 0:07:40.500000
Dakle, postoji smještenje, postoji injekcija koja je jakni homorfizam,;0:07:40.500000 - 0:07:45.500000
ako i samo ako postoji podmodel od ove veće strukture,;0:07:45.500000 - 0:07:50.500000
koji je izomorfan ovoj manjej strukturi.;0:07:50.500000 - 0:07:52.500000
Naravno, taj podmodel će onda biti upravo slika ovog smještenja.;0:07:52.500000 - 0:07:56.500000
Sašim jasno je to funkcionirane.;0:07:58.500000 - 0:08:00.500000
To ste u teoriji skupova odavno imali, jel?;0:08:00.500000 - 0:08:02.500000
Dakle, imate injekciju s jednog skupa u drugi,;0:08:02.500000 - 0:08:05.500000
ako i samo ako slika te injekcije je zapravo ekfipotentna;0:08:05.500000 - 0:08:10.500000
sa ovim skupom od kojeg ste krenuli.;0:08:10.500000 - 0:08:13.500000
Ali vidimo da zapravo ne mora to biti samo za skupove,;0:08:13.500000 - 0:08:16.500000
može biti i za projeđevane strukture.;0:08:16.500000 - 0:08:18.500000
Svakako važan teorem je da izomorfne strukture,;0:08:20.500000 - 0:08:24.500000
na izomorfnim strukturama vrijede iste stvari,;0:08:24.500000 - 0:08:27.500000
pa specijalno vrijede iste rečenice.;0:08:27.500000 - 0:08:29.500000
Izomorfne strukture jesu elementarno ekvivalente.;0:08:29.500000 - 0:08:32.500000
Izomorfizam je valjda najjača veza između dvije različite strukture;0:08:34.500000 - 0:08:40.500000
kakva može postojati.;0:08:41.500000 - 0:08:43.500000
A sve ove ostale veze su nekako slabije od toga.;0:08:43.500000 - 0:08:47.500000
Dakle, svakako biste očekivali da izomorfizam povlači;0:08:47.500000 - 0:08:50.500000
bilo kakvu drugu slabiju vezu između njih,;0:08:50.500000 - 0:08:53.500000
pa tako je elementarno ekvivalenciju.;0:08:53.500000 - 0:08:55.500000
Ali opet, možete samo raspisati što to znači;0:08:55.500000 - 0:08:59.500000
