Speech;Timestamp
takvi maknuti;0:00:00 - 0:00:02
jako ljudi;0:00:04 - 0:00:06
ukario me;0:00:08.260000 - 0:00:11.060000
opustite;0:00:13.240000 - 0:00:15.740000
Nikomu nema;0:00:19.480000 - 0:00:21.680000
LIJEP OISPRUTI;0:00:23.100000 - 0:00:25.040000
RE;0:00:25.040000 - 0:00:25.400000
ok, ukario me;0:00:25.400000 - 0:00:27.400000
dobro, dakle;0:00:30.400000 - 0:00:32.400000
ja moram priznat da sam ja malo;0:00:34.400000 - 0:00:36.400000
se zabrojio u vremenu;0:00:38.400000 - 0:00:41.400000
dakle, u onom tjednu od;0:00:41.400000 - 0:00:44.400000
20. do 24.;0:00:44.400000 - 0:00:47.400000
drugog me nema;0:00:47.400000 - 0:00:50.400000
tak da sam mislio da tad završit, ali sam mislio da do tad imamo još dva puta;0:00:50.400000 - 0:00:54.400000
imamo još tri puta zapravo;0:00:54.400000 - 0:00:56.400000
tak da na kraju zapravo ćemo;0:00:56.400000 - 0:00:59.400000
vjerojatno i ranije završit, ali;0:00:59.400000 - 0:01:01.400000
dobro, nije strašno, ali u svakom slučaju;0:01:01.400000 - 0:01:04.400000
možda onda ipak da;0:01:04.400000 - 0:01:07.400000
da malo detaljnije prođem;0:01:08.400000 - 0:01:10.400000
prođem kroz ovu eliminaciju kvantifikatora na;0:01:10.400000 - 0:01:13.400000
u teoriji DLOJ, odnosno DLOJ-NE;0:01:16.400000 - 0:01:19.400000
dakle;0:01:19.400000 - 0:01:21.400000
što smo rekli, znači to je teorija;0:01:25.400000 - 0:01:27.400000
gustih linarnih uređaja bez krajnjih točaka;0:01:27.400000 - 0:01:30.400000
dakle;0:01:30.400000 - 0:01:32.400000
svakako uređaj;0:01:32.400000 - 0:01:34.400000
dakle;0:01:34.400000 - 0:01:36.400000
signatura je naravno;0:01:40.400000 - 0:01:42.400000
jednakost i uređaj;0:01:42.400000 - 0:01:44.400000
transitivnost;0:01:46.400000 - 0:01:48.400000
dobro, znači;0:01:55.400000 - 0:01:58.400000
linarni uređaj, dakle;0:01:58.400000 - 0:02:01.400000
to;0:02:08.400000 - 0:02:10.400000
a gusti;0:02:10.400000 - 0:02:12.400000
to;0:02:25.400000 - 0:02:27.400000
i obo strane neograničeni, dakle;0:02:27.400000 - 0:02:30.400000
od svakog elementa, ima i veći i manji;0:02:39.400000 - 0:02:42.400000
dakle;0:02:46.400000 - 0:02:48.400000
dobro, mogli bismo još ove;0:02:48.400000 - 0:02:51.400000
preneksnu normalnu formu ovdje pa vidjeti da su;0:02:52.400000 - 0:02:55.400000
ovo su sve zapravo;0:02:55.400000 - 0:02:57.400000
za svaki postoji rečenice, dakle;0:02:57.400000 - 0:02:59.400000
DLOJ-NE jest jedna za svaki postoji teorija;0:02:59.400000 - 0:03:02.400000
i to smo već vidjeli tamo kad smo;0:03:03.400000 - 0:03:06.400000
kad smo gledali šta to zapravo znači za;0:03:06.400000 - 0:03:09.400000
očuvanost njezinih modela;0:03:09.400000 - 0:03:12.400000
to su gledale neke unije lanaca i tako;0:03:12.400000 - 0:03:14.400000
ali kažem ovdje to sad nije toliko bitno;0:03:14.400000 - 0:03:16.400000
ono što je bitno jednako, dakle;0:03:16.400000 - 0:03:18.400000
čovjek;0:03:18.400000 - 0:03:20.400000
promatra ovo kao nekakav;0:03:20.400000 - 0:03:22.400000
skup rečenica, to doista jest;0:03:22.400000 - 0:03:24.400000
skup rečenica, dakle nekakva teorija;0:03:24.400000 - 0:03:26.400000
konačan je skup, znači ta teorija je;0:03:28.400000 - 0:03:30.400000
konačno aksimotizabilna;0:03:30.400000 - 0:03:32.400000
i kažem neke od tih stvari smo već;0:03:32.400000 - 0:03:35.400000
vidjeli, znači vidjeli smo da je;0:03:36.400000 - 0:03:38.400000
da je potpuna teorija i tako, sad ćemo vidjeti;0:03:38.400000 - 0:03:40.400000
da je modelno potpuna na način da zapravo;0:03:40.400000 - 0:03:43.400000
vidimo da dopušta eliminaciju kvantifikata;0:03:44.400000 - 0:03:47.400000
Dakle, šta kaže ona napomena prije?;0:03:48.400000 - 0:03:52.400000
Znači da kad god imam;0:03:53.400000 - 0:03:55.400000
kriterij kaže da;0:03:58.400000 - 0:04:00.400000
dopušta eliminaciju kvantifikatora;0:04:02.400000 - 0:04:04.400000
uopće nije to primitivno;0:04:04.400000 - 0:04:06.400000
Da, znači primitivno, dakle;0:04:07.400000 - 0:04:10.400000
ima samo eksistencijalne kvantifikatore;0:04:12.400000 - 0:04:16.400000
i nakon toga elementarnu konjunkciju;0:04:17.400000 - 0:04:20.400000
onda primitivna, eksistencijalna;0:04:22.400000 - 0:04:26.400000
i sa samo jednim eksistencijalnim kvantifikatorom;0:04:27.400000 - 0:04:30.400000
dakle, dovoljno je iz njih eliminirane;0:04:30.400000 - 0:04:32.400000
neka je F;0:04:37.400000 - 0:04:39.400000
e sad, dakle, dobro, to je naravno;0:04:39.400000 - 0:04:42.400000
Aha, formula, znači naravno ne mora biti rečenica;0:04:43.400000 - 0:04:47.400000
znači recimo ovaj;0:04:48.400000 - 0:04:50.400000
x2, x3, xn;0:04:51.400000 - 0:04:56.400000
oblika postoji x1, takav da;0:05:01.400000 - 0:05:05.400000
i sad tu dolazi nekakva otvorena;0:05:05.400000 - 0:05:09.400000
znači bez ikakvih kvantifikatora;0:05:09.400000 - 0:05:11.400000
formula sa x1, x2 itd. do xn;0:05:11.400000 - 0:05:15.400000
znači, to je konjunkcija atomarnih;0:05:16.400000 - 0:05:22.400000
i negacija atomarnih formula;0:05:23.400000 - 0:05:26.400000
i sad smo rekli, znači;0:05:35.400000 - 0:05:37.400000
svaka atomarna je;0:05:37.400000 - 0:05:40.400000
znači, ima neki od dva relacijska simbola;0:05:41.400000 - 0:05:44.400000
recimo neka su;0:05:50.400000 - 0:05:52.400000
a1 do an;0:05:55.400000 - 0:05:58.400000
sve takve koje su zapravo jednakosti;0:06:02.400000 - 0:06:06.400000
nekakvih kvantifikatora;0:06:07.400000 - 0:06:09.400000
znači, nešto, nekakav term u ovoj teoriji;0:06:13.400000 - 0:06:16.400000
je jednak nekakvom drugom termu u toj teoriji;0:06:16.400000 - 0:06:20.400000
međutim, term je sad;0:06:20.400000 - 0:06:22.400000
kad god imate eliminaciju kvantifikatora;0:06:23.400000 - 0:06:25.400000
užasno vam je važno što su termi;0:06:25.400000 - 0:06:27.400000
jer, dakle, oni su zapravo nekak;0:06:27.400000 - 0:06:30.400000
od uzgora formula uvijek iz koje želite eliminirati kvantifikator;0:06:30.400000 - 0:06:34.400000
i to je, navijek, ogleda ovako;0:06:34.400000 - 0:06:36.400000
jedan je existencijalni i nakon toga elementarna konjunkcija;0:06:36.400000 - 0:06:39.400000
dakle, svaki konjunkt je atomarni ili negacija atomarni;0:06:39.400000 - 0:06:42.400000
i onda atomarna je uvijek u blika nekih relacijskih simboli;0:06:42.400000 - 0:06:46.400000
recimo mjestosti 2, onda 2 terma;0:06:46.400000 - 0:06:49.400000
dalje je struktura terma može biti komplicirana;0:06:49.400000 - 0:06:52.400000
međutim, u ovom slučaju;0:06:52.400000 - 0:06:54.400000
termi, znači, općenito su;0:06:55.400000 - 0:06:57.400000
ili variable, ili konstantski simboli;0:06:57.400000 - 0:06:59.400000
ili funkcijski termi;0:06:59.400000 - 0:07:01.400000
dakle, funkcijski simbol pa zagrada;0:07:01.400000 - 0:07:03.400000
hrpa manjih terma pa zatvorena zagrada;0:07:03.400000 - 0:07:05.400000
ali ovdje, budući da u signaturi nema;0:07:05.400000 - 0:07:08.400000
znači, signatura je relacijska, nema ovih funkcijskih i konstantskih simbola;0:07:08.400000 - 0:07:12.400000
onda su termi zapravo samo variable;0:07:12.400000 - 0:07:15.400000
ok;0:07:19.400000 - 0:07:20.400000
dakle, svaka od ovih formula A i;0:07:21.400000 - 0:07:24.400000
je u blika;0:07:24.400000 - 0:07:26.400000
nekakva variable;0:07:27.400000 - 0:07:29.400000
V i;0:07:29.400000 - 0:07:32.400000
jednako neka druga variable;0:07:32.400000 - 0:07:35.400000
duplo V i;0:07:35.400000 - 0:07:37.400000
znači, te variable V i, duplo V i su;0:07:37.400000 - 0:07:40.400000
oblik, su među;0:07:40.400000 - 0:07:43.400000
x1 do xn;0:07:46.400000 - 0:07:49.400000
smije se pojavljivati, naravno, variable x2 do xn;0:07:49.400000 - 0:07:52.400000
ali smije se pojavljivati i variable x1;0:07:52.400000 - 0:07:54.400000
dobro;0:07:55.400000 - 0:07:56.400000
što su B i? pa to su;0:07:58.400000 - 0:08:00.400000
formule oblika;0:08:00.400000 - 0:08:02.400000
ovog tu, evo znači, atomarne formule sa ovom;0:08:02.400000 - 0:08:05.400000
znači, to je ovaj;0:08:05.400000 - 0:08:08.400000
da, sad kako bi to čovjek;0:08:09.400000 - 0:08:12.400000
lijepo;0:08:12.400000 - 0:08:14.400000
lijepo ovo značio;0:08:14.400000 - 0:08:18.400000
a dobro, nije previše bitno;0:08:18.400000 - 0:08:21.400000
ovaj;0:08:21.400000 - 0:08:22.400000
V i crtica, duplo V i crtica;0:08:22.400000 - 0:08:25.400000
