Speech;Timestamp
Prvi put smo bili zapeli u jednom dijelu samo kod kregove interpolacijske leme.;0:00:00 - 0:00:20
Nije baš bilo jasno kako primijeniti ovaj postupak.;0:00:20 - 0:00:27
Imali smo niz formula A0, A1 itd.;0:00:27 - 0:00:32
I tako dalje, onda smo od njih nekako gradili B0 pa B1 pa iz njega i ove A2, B2 itd.;0:00:32 - 0:00:46
Uzimajući ili te formule Aove ili njihove negacije u nekakvu konjunkciju.;0:00:46 - 0:00:52
Tako da i dalje sačuvamo svojstvo da između ovih F i G nekako nema interpolanta, čak nikad dodam te Bove.;0:00:52 - 0:01:05
I onda je bilo nekako aha, znači svaki pojedini B je konzistentan sa Fom, dakle ovo je ispunjivo.;0:01:05 - 0:01:14
A onda je bilo kao nekako i ovo je ispunjivo.;0:01:14 - 0:01:21
Znači ovo smo više manje uspjeli vidjeti, a ovo nije bilo baš tako jednostavno.;0:01:21 - 0:01:31
Na prvi pogled se širi da ide analogno jer ovaj B0 je zapravo valjana formula i tako onda je na početku lako,;0:01:31 - 0:01:39
ali kasnije se stvari kompliciraju jer onda ova konjunkcija kad se negira postane disjunkcija i onda to više nije tako analogno.;0:01:39 - 0:01:48
Dakle, nisam uspio doslovno taj dokaz dotirat do kraja, ali postoji dokaz, ima na Math Overflowu.;0:01:48 - 0:01:59
Dakle, ja bih rekao na prvi pogled da to ide, znači pitanje je postavljeno i upravo ide znači pomoću poboću Robinsonovog teorema;0:02:00 - 0:02:12
i tu je, ajmo reći, nekakav odgovor. Stvarno bih rekao da ovak na prvi pogled da sve štima i nalikuje na ovaj naš dokaz,;0:02:12 - 0:02:23
jedino što ne ide sa nizom formula nego ide sa skupom formula, ali mislim da se vrlo jednostavno može svesti na ovo što smo mi radili,;0:02:23 - 0:02:34
na obliku kojem smo mi radili, tako da mislim da će to biti jedna od zadataka za zadaću, dakle da pročitate taj dokaz na Math Overflowu;0:02:34 - 0:02:45
i da ga zapišete u ovoj našoj notaciji kad smo već kod toga. Dakle, prva zadaća će biti objavljena do kraja tjedna, dakle do Božića,;0:02:45 - 0:02:54
onda ćete naravno ne samo preko Božićnih praznika, ali ono tamo negdje do kraja sječnja bi bilo lijepo da je riješite i pošaljete.;0:02:54 - 0:03:07
Ali kažem, to ćemo još komunicirati mailom samo da znate da ćete imat šta raditi preko praznika, neće vam biti dosadno.;0:03:08 - 0:03:16
A mi idemo sad dalje što se tiče ovih stvari prema Vošovom teoremu i prvo zapravo moramo definirati općenito produkt i struktura.;0:03:17 - 0:03:27
