Speech;Timestamp
Dobro, dakle, kao što rekli smo, s jedne strane nam je ta priča o očuvanjima,;0:00:00 - 0:00:10.560000
znači klasa, modela neke teorije je očuvana na nešto,;0:00:10.560000 - 0:00:16
nekakvu konstrukciju ili nekakvu relaciju između struktura,;0:00:16 - 0:00:19.240000
a s druge strane nam je sintaksni oblik teorije.;0:00:19.240000 - 0:00:21.760000
I onda naravno ne možemo zapravo očekivati da bi ćemo,;0:00:21.760000 - 0:00:24.760000
u jednom smjeru možemo, dakle, ako su sve formule u teoriji;0:00:24.760000 - 0:00:29.560000
nekog sintaksnog oblika, onda će klasa, modela biti zatvorena na nešto, naravno.;0:00:29.560000 - 0:00:33.960000
Ali htjeli bismo zapravo dokazati karakterizaciju, dokazati oba smjera,;0:00:33.960000 - 0:00:38.600000
znači i drugi smjer, onda nekako, ako je klasa, modela zatvorena na nešto,;0:00:38.600000 - 0:00:43.240000
onda sve formule te teorije imaju nekakav sintaksni oblik.;0:00:43.240000 - 0:00:47.240000
Naravno, to je apsolutno nemoguće jer ne možemo nikako propisati;0:00:47.240000 - 0:00:51.200000
sintaksni oblik formule samo na osnovi toga u kakvim modelima vrijedi,;0:00:51.200000 - 0:00:54.640000
jer, vjerojatno, vi mogu napisati ekvivalentnu formulu koja nije tog sintaksnog oblika,;0:00:54.640000 - 0:00:59.160000
ali mogu, na primjer, ako je, ono, teorem kaže da moram imat nekakve univerzalne formule unutra,;0:00:59.160000 - 0:01:05.640000
dakle samo sa univerzalnim kvantifikatorima, ja uvijek mogu na formulu dodat na početak;0:01:05.640000 - 0:01:09.280000
neki irrelevantni egzistencijalni kvantifikator, ona više neće biti tog oblika.;0:01:09.280000 - 0:01:12.640000
Ali, znači, ne možemo se nadat da ćemo stvarno dobiti ako i samo ako,;0:01:12.640000 - 0:01:16.160000
pod predpostavkom da s jedne strane stoji sintaksni oblik formula u teoriji,;0:01:16.160000 - 0:01:20.120000
a s druge strane zatvornost klase, modela te teorije na nešto.;0:01:20.120000 - 0:01:23.880000
Ali, to ćemo lako riješiti tako da zapravo ovu ekvivalenciju upotrebimo kao džoker,;0:01:24.160000 - 0:01:31.680000
dakle nećemo reći aha, tada u toj teoriji sve formule, na primjer, su univerzalne,;0:01:31.680000 - 0:01:38.120000
nego u nekoj ekvivalentnoj teoriji.;0:01:38.120000 - 0:01:40.840000
Sad, ono što znači ekvivalentna teorija, pa ono zapravo što vidi iste modele,;0:01:40.840000 - 0:01:45.800000
onako, što ima istu klasu modela.;0:01:45.800000 - 0:01:49.880000
Znači, prvo, nad istom signaturom dvije teorije, te i te trdice, zovemo ekvivalentnima;0:01:50.200000 - 0:01:54.400000
ako su, bilo koja je struktura nad tom signaturom model za jednu,;0:01:54.400000 - 0:02:01.320000
ako i samo ako je model za drugu.;0:02:01.320000 - 0:02:03.160000
E sad, dakle, sad možemo govoriti o ovoj semantičkom značenju ove očuvanosti za,;0:02:03.680000 - 0:02:10.080000
na primjer, podmodele. Što to znači? To znači da...;0:02:10.080000 - 0:02:13.920000
Aha, dobro, imamo dvije stvari, imamo očuvanje na podmodele i zatvoranost za podmodele.;0:02:13.920000 - 0:02:22.840000
Dakle, ili zatvoranost na podmodele i očuvanost za podmodele.;0:02:22.840000 - 0:02:27.800000
Nisam siguran da jezik tu nešto posebno ima za propisat, ali dobro, uglavnom,;0:02:27.800000 - 0:02:34.680000
valjda Vuković tako kaže u svojoj knjizi.;0:02:34.680000 - 0:02:37.520000
Dakle, klasa je zatvorana na podmodele, ono što bismo očekivali.;0:02:37.520000 - 0:02:42.920000
Dakle, ako imaš element T klase i neki njegov podmodel,;0:02:42.920000 - 0:02:48.520000
onda taj podmodel također mora biti u toj klasi.;0:02:48.520000 - 0:02:51.320000
A onda, s obzirom na to, ako je ta klasa baš klasa modela neke teorije T,;0:02:51.320000 - 0:02:56.120000
onda kažemo da je teorija T očuvana za podmodela.;0:02:56.120000 - 0:02:59.320000
E sad kažem, to možemo karakterizirati ovako.;0:02:59.320000 - 0:03:01.520000
Znači, ako imam podmodel nekog modela za T, onda je on također model za T.;0:03:01.520000 - 0:03:06.720000
I teorijem prvi u seriji tih teorijema očuvanja je,;0:03:07.720000 - 0:03:13.320000
teorija je očuvana za podmodele ako i samo ako,;0:03:13.320000 - 0:03:16.720000
sad bismo htjeli reći je univerzalna, ali ne možemo,;0:03:16.720000 - 0:03:18.920000
razloga koju smo prije rekli je ekvivalentna nekoj univerzalnoj T crtica.;0:03:18.920000 - 0:03:25.320000
T je ekvivalentna, sad, kako bi čovjek vidio teorije da su ekvivalentne,;0:03:28.520000 - 0:03:32.920000
odnošavao, ne znam, mislim, pa možete reći ovako u smislu,;0:03:33.120000 - 0:03:37.120000
semantički, dakle, kroz modele.;0:03:37.120000 - 0:03:40.320000
T crtica je univerzalna za neki T crtica.;0:03:40.320000 - 0:03:50.520000
Ovaj, ako i samo ako imaš neki podmodel modela za T,;0:03:50.720000 - 0:04:01.320000
povlakći da je on također model za T.;0:04:01.320000 - 0:04:09.120000
Dobro, i jedan smjer je vanjda prilišno jasan,;0:04:12.120000 - 0:04:15.320000
to je ono gdje bi čovjek očekivao da,;0:04:15.320000 - 0:04:18.520000
ako ja imam samo univerzalne rečenice,;0:04:18.920000 - 0:04:21.920000
znači za početak maknimo ovaj T crtica,;0:04:21.920000 - 0:04:24.920000
