Speech;Timestamp
Sad htio odmah malo ovak' foreshadowat'. Dakle,;0:00:00 - 0:00:04.500000
nekak' je možda zaočekivati da ono,;0:00:06.840000 - 0:00:09.500000
ak' je na nekom;0:00:11.700000 - 0:00:12.680000
ukviru valjana ovakva formula, da je taj refleksivan i obratno.;0:00:14.380000 - 0:00:22
U redu.;0:00:22.400000 - 0:00:22.900000
Nekak';0:00:23.640000 - 0:00:24.340000
dovoljno je jak taj pojam valjanosti da nekak' može presložiti okvir malo,;0:00:24.340000 - 0:00:30.840000
ajmo to tak' reć', da ono, nekako utječe na njegovu strukturu, taj R.;0:00:30.840000 - 0:00:38.340000
Kod modela to nije slučaj.;0:00:40.340000 - 0:00:41.840000
Znači, ne možete vi sad prčkat' sa tim variablicama nekako;0:00:42.340000 - 0:00:46.340000
i postić' to isto. Znači, da bi se sad model;0:00:46.840000 - 0:00:50.840000
mogao pomoć' u ovakve jedne formule, recimo u ove refleksivnosti,;0:00:51.340000 - 0:00:55.840000
da bi sad on bio refleksivan, odnosno priležeća ovoga relacija R;0:00:56.840000 - 0:01:04.840000
bila refleksivna, ako i samo ako je ova formula na njemu globalno istinita.;0:01:04.840000 - 0:01:10.340000
Dobro?;0:01:10.840000 - 0:01:11.340000
Znači, ima jedna fundamentalna razlika između valjanosti na ukvirima;0:01:11.840000 - 0:01:16.840000
i istinitosti na modelima.;0:01:16.840000 - 0:01:18.840000
U redu, to su jako različite životinje, treba jako paziti tu.;0:01:18.840000 - 0:01:22.340000
I mislim, budemo o tome puno pričali, samo čisto sad da vas odmah upozorim.;0:01:23.340000 - 0:01:27.840000
Znači, naravno, ako je refleksivan priležeći okvir,;0:01:28.840000 - 0:01:35.340000
odnosno, ako je model refleksivan, onda će ova formula biti istinita.;0:01:35.340000 - 0:01:40.340000
Jel? To je za očekivati.;0:01:40.840000 - 0:01:42.340000
Samo, nije da, ako je ta formula istinita, da je model nužno refleksivan.;0:01:42.340000 - 0:01:49.840000
Jel možete smisliti neki model koji jest refleksivan,;0:01:49.840000 - 0:01:56.840000
znači R je stvarno refleksivna relacija...;0:01:56.840000 - 0:01:59.840000
Ne, pardon. Znači, R nije refleksivna relacija,;0:02:02.840000 - 0:02:06.840000
ali ovo tu sve jedno vrijedi.;0:02:06.840000 - 0:02:08.840000
Dobro? Znači, nije istinita ova implikacija,;0:02:09.340000 - 0:02:11.840000
ovo je istina povlači refleksivnost modela,;0:02:12.340000 - 0:02:15.840000
nego postoji model takav da ova tu formula jest globalno istinita njemu,;0:02:16.340000 - 0:02:23.840000
a model nije refleksivan.;0:02:24.340000 - 0:02:26.340000
Skoro. Ne smijemo.;0:02:30.340000 - 0:02:32.340000
Ne smijemo, ali skoro. I to će biti dobro.;0:02:34.340000 - 0:02:37.340000
Znači, to je najjednostavniji mogući Kripkeov model.;0:02:37.340000 - 0:02:41.340000
Znači, jedna točka, prazna relacija i prazna valuacija.;0:02:41.840000 - 0:02:45.840000
Jel se slažete da taj model očito nije refleksivan,;0:02:46.340000 - 0:02:49.340000
jel fali ova petljica? Dobro?;0:02:49.840000 - 0:02:52.840000
A jel se slažete da ova tu formula je na njemu globalno istinita,;0:02:53.840000 - 0:02:58.340000
odnosno na tom jednom jedinom svijetu, jer nije P?;0:02:58.340000 - 0:03:00.840000
Dobro. I gotovo. Ok. Znači, zgodno je smišljati te primjere;0:03:01.840000 - 0:03:06.840000
i često ovako bude, vidite, i puno lakše nego bi možda čovjek očekivao.;0:03:06.840000 - 0:03:11.340000
Ali samo vam hoću reći. Znači, u okviri i modeli tu postoje;0:03:11.840000 - 0:03:15.840000
odnosno valjanost i istinitost jako velike razlike.;0:03:15.840000 - 0:03:18.840000
Različito se ponašaju jako.;0:03:20.340000 - 0:03:22.340000
Dobro. Znači, zamislite si da imamo nekakav Kripkeov okvir;0:03:22.840000 - 0:03:26.340000
i imamo relaciju dostiživosti R. Dobro? Znači, duplo V i R.;0:03:26.840000 - 0:03:30.840000
Tada, vidite, na njemu će sigurno ovo vrijediti. U redu.;0:03:31.840000 - 0:03:36.340000
Znači, na svakom okviru, na svakom Kripkeovom okviru;0:03:36.840000 - 0:03:40.840000
je valjana ova formula. U redu.;0:03:41.340000 - 0:03:44.840000
Sjećate se. Mislim, to bismo i htjeli, jel?;0:03:45.340000 - 0:03:47.840000
Znači, da nam je dokazivost i valjanost jednote isto.;0:03:47.840000 - 0:03:51.340000
Pa ovo svakako hoćemo da bude i je.;0:03:51.840000 - 0:03:54.340000
Odnosno, zato smo tu formulu natrpali u K.;0:03:54.840000 - 0:03:57.840000
Jer nam niš' drugo nije trebalo, osim onih ta utologija;0:03:58.840000 - 0:04:01.840000
u proširenom jeziku.;0:04:02.840000 - 0:04:04.840000
Aha, čak sam to već pokazao.;0:04:07.840000 - 0:04:10.840000
Znači, zašto će to vrijediti ovoga na svakom okviru?;0:04:11.840000 - 0:04:18.840000
Zato što jednom kad na njega stavim bilo koju valuaciju;0:04:18.840000 - 0:04:21.840000
i usredotočim se na bilo koji svijet, objasnili smo.;0:04:22.340000 - 0:04:25.840000
Znači, pretpostavim da imam ovo tu.;0:04:26.840000 - 0:04:29.840000
Dobro? I ovoga, onda ću iz ovoga dobiti ovo.;0:04:30.340000 - 0:04:35.840000
Dobro, trebali bismo možda to malo drugčije napraviti,;0:04:37.840000 - 0:04:40.840000
ali ajde ovako, semantički.;0:04:40.840000 - 0:04:42.840000
Ovo, naravno, neće biti valjana formula.;0:04:47.840000 - 0:04:51.840000
Ali vidjeli smo, ako je R refleksivna,;0:04:52.840000 - 0:04:54.840000
onda je vajda jasno da je na svakom priležećem modelu;0:04:55.840000 - 0:04:58.840000
ovoga, ova formula je istinita u svakom svijetu.;0:04:59.840000 - 0:05:04.340000
Pa onda to znači i na okviru gdje je R refleksivna.;0:05:04.340000 - 0:05:09.340000
Ono što je bitno, budući da sad tu imamo okvir, vrijedit će obrat.;0:05:10.840000 - 0:05:14.340000
Vidjeli smo da ne vrijedi obrat za modele,;0:05:15.340000 - 0:05:17.340000
ali za okvire će vrijediti obrat.;0:05:17.840000 - 0:05:20.340000
Dobro. Ovo je transitivnost.;0:05:24.340000 - 0:05:30.340000
U redu. Opet.;0:05:30.340000 - 0:05:32.340000
Ako vam se ne sviđa ovak sa kvadratićima, tu je možda malo teže.;0:05:36.340000 - 0:05:39.840000
Nekak tu ne možete razmišljati o jednom i dva koraka.;0:05:40.340000 - 0:05:42.840000
Nekak je možda nepraktično napisano.;0:05:43.340000 - 0:05:46.340000
Vidite, opet možemo napraviti ovo, jel?;0:05:47.340000 - 0:05:49.340000
Dobro, sad ovo tu mi ne treba.;0:05:55.340000 - 0:05:57.340000
Ovo ga kontrapoziciju napravim, pa dobim dajmont, dajmont, nepe.;0:05:58.340000 - 0:06:04.840000
U dajmont, nepe.;0:06:06.340000 - 0:06:08.340000
Dobro. I sad, jel vidite zašto sad mogu prebacite sa nepe i nepe na pe i pe?;0:06:09.840000 - 0:06:16.840000
Jer govorimo o valjanosti na okvirima. U redu.;0:06:17.340000 - 0:06:20.340000
Znači, kak je mogla biti valuacija takva da ovo bude istina,;0:06:20.840000 - 0:06:24.340000
tak je isto mogla biti valuacija da to ne bude istina. Razumijete?;0:06:25.340000 - 0:06:29.340000
Pa mi je sve jedno, jel razmatram valjanost formule dajmont, dajmont, nepe,;0:06:29.840000 - 0:06:34.340000
povlači dajmont, nepe, ili razmatram valjanost formule dajmont, dajmont, pe,;0:06:34.340000 - 0:06:40.340000
povlači dajmont, pe. U redu. Možete si to malo raspisati,;0:06:40.840000 - 0:06:45.340000
nisam na najbolji način možda to rekao.;0:06:47.340000 - 0:06:49.340000
Ali, jel sad vidite što obavim u dva koraka, obavit ću u jednom.;0:06:49.840000 - 0:06:52.840000
Znači, transitivnost opet. Recite.;0:06:52.840000 - 0:06:54.840000
Čekaj, jel to vrijedi obrat?;0:06:55.340000 - 0:06:56.840000
Da, da, da, da, vrijedi obrat.;0:06:57.340000 - 0:06:59.840000
Dobro. Vrijedi će i tu, i tu.;0:07:03.840000 - 0:07:07.840000
Drugim riječima ovoga, ova formula definira refleksivnost okvira.;0:07:08.340000 - 0:07:14.840000
Ova formula definira transitivnost okvira.;0:07:15.340000 - 0:07:18.840000
Ova EU klitskost, nemam pojma.;0:07:18.840000 - 0:07:21.840000
Ovo, da. Transitivnu, inverznu, dobru temeljenost.;0:07:22.840000 - 0:07:27.840000
Dobro, sad neću sad previše, znači, ajde, nacrtaću samo ovo tu.;0:07:30.840000 - 0:07:35.840000
Ovoga kao tu, nekakvu usmjerenost.;0:07:36.340000 - 0:07:37.840000
Vidite, ovo je ona naša negativna introspekcija.;0:07:38.340000 - 0:07:40.840000
Dobro, vidite transitivnost. Zašto je lijepo nekak razmišljati o ovome?;0:07:40.840000 - 0:07:44.340000
Jer sam rekao dva koraka pređu u jedan.;0:07:44.340000 - 0:07:46.840000
A ovako je lijepo razmišljati, jer sad vidimo da je to pozitivna introspekcija.;0:07:46.840000 - 0:07:51.340000
Kužite, lijepo je razmisliti i preko boksova i preko dajmovna.;0:07:51.840000 - 0:07:55.340000
Isto tako, ovo je negativna introspekcija. Čemu odgovara?;0:07:55.340000 - 0:07:59.340000
Odgovara okvirima za koje vrijedi nekakav tip usmjerenosti, ja bih rekao.;0:07:59.340000 - 0:08:04.340000
Znači, je li to baš usmjerenost? Dobro.;0:08:04.340000 - 0:08:07.840000
VRU i VRV.;0:08:09.340000 - 0:08:13.840000
Pa je, ja bih rekao da se može reći da je to nekakva usmjerenost,;0:08:17.840000 - 0:08:21.340000
da tu onda dođe R. Dobro.;0:08:21.340000 - 0:08:24.340000
Znači, jak imam VRU i VRV, onda imam URV.;0:08:24.340000 - 0:08:27.340000
Dobro. I znači, jak imam to, onda imam da je ova formula na tom okviru valjana.;0:08:28.340000 - 0:08:36.840000
Dobro. Znači, ne jedna od tih formula nije valjana, ko što tu piše.;0:08:37.340000 - 0:08:43.340000
U redu, samo je valjana na takvim okvirima, odnosno karakterizira takve okvire.;0:08:43.340000 - 0:08:47.840000
E, dobro. Ova L'ova formula, rekli smo, R je transitivna i inverzno dobro utemeljena.;0:08:48.840000 - 0:08:54.340000
Ne postoji ovakav beskonačni lanac.;0:08:54.340000 - 0:08:57.340000
Sad, ajde, možda da to malo probam.;0:08:57.840000 - 0:09:00.340000
U redu.;0:09:00.840000 - 0:09:02.340000
Ajde ovak, pretpostavimo, pretpostavimo suprotno, to jest da...;0:09:10.840000 - 0:09:16.340000
Znači, gledam ovo. Ako je R transitivna i inverzno dobro utemeljena,;0:09:17.840000 - 0:09:20.840000
da mora biti istinita ova formula. U redu.;0:09:20.840000 - 0:09:23.840000
Da mora biti valjana ta formula. Znači, pretpostavim da ne mora.;0:09:23.840000 - 0:09:27.840000
Odnosno da nije. Znači, da postoji nekakva valuacija, dobro, takva da...;0:09:27.840000 - 0:09:35.840000
I svijet, jel? Tak da...;0:09:36.840000 - 0:09:39.840000
Kaj? Da...;0:09:41.340000 - 0:09:42.840000
Jest antecedenta.;0:09:45.340000 - 0:09:47.840000
Dobro? I, često neću pisat model, neću gubit vrijeme, nego znamo di smo, jel?;0:09:50.840000 - 0:09:57.340000
I ne vrijedi, ne vrijedi ili vrijedi negacija, kak ću već napisat, od boks P.;0:09:57.840000 - 0:10:05.340000
Dobro? Ta ne znam kaj mi je zgodnije. Ajde, ne vrijedi boks P.;0:10:05.840000 - 0:10:10.840000
Dobro, jel ovo u redu početak dokaza? Jel vam se čini u redu?;0:10:11.840000 - 0:10:15.840000
Dobro? E, i sad da vidimo zašto to ne može biti.;0:10:16.340000 - 0:10:20.840000
U redu, zašto to ne može biti? Pa da vidimo.;0:10:21.340000 - 0:10:23.840000
Znači, jak ja imam... Aha, možda će mi trebati samo malo da dohvatim nekoga, ovo mi se ne sviđa.;0:10:23.840000 - 0:10:31.840000
Znači, negacija od boks P. Dobro.;0:10:32.840000 - 0:10:37.840000
Tako je. Znači, na duplo V, iz ovoga tu, jel? Je istinita negacija od boks P.;0:10:40.340000 - 0:10:46.840000
Jel se slažete? E, to je po definiciji istinitosti na točkovnom modelu.;0:10:47.340000 - 0:10:51.840000
Znači, ak je istinita negacija od boks P, šta to znači?;0:10:51.840000 - 0:10:55.340000
Da postoji neki sljedbenik na kojem nije P. Jel tako?;0:10:55.840000 - 0:11:00.840000
Znači, postoji sljedbenik na kojem nije P. Dobro.;0:11:01.340000 - 0:11:03.840000
Evo, V. Ili... Dobro. Znači, nije P.;0:11:08.340000 - 0:11:12.840000
Ovak ću napisat, kao, ne bih sad ti ostavio prazno, pa da iz toga zaključite da nema P,;0:11:13.340000 - 0:11:18.840000
nego reći ću istinit je ne P ovdje. Iako sam vješao samo variable.;0:11:18.840000 - 0:11:23.840000
Dobro. Tu je istinit ne P. E sad šta? Šta ćemo sad?;0:11:24.340000 - 0:11:28.840000
Gledajte, mi imamo tu nekakvu univerzalnu priču o sljedbenicima od duplog V. Jel tako?;0:11:29.340000 - 0:11:35.340000
Pa ajde idemo vidjeti. Šta osim ne P vrijedi na tom sljedbeniku od duplog V?;0:11:36.340000 - 0:11:43.340000
Pa vrijedi boks P povlači P. Jel tako?;0:11:43.840000 - 0:11:46.840000
Dobro.;0:11:48.840000 - 0:11:49.840000
Ok. Šta ćemo sad? Kak ćemo sad dobit kontradikciju?;0:11:53.340000 - 0:11:58.840000
Šta mogu iz ove dvije stvari onako bulovski zaključiti?;0:12:00.340000 - 0:12:04.840000
Ovo tu je sad čista propozicijska logika, gdje je ovaj boks P je V. U redu.;0:12:05.340000 - 0:12:11.340000
Šta ja mogu iz ne P i V povlači P zaključiti?;0:12:11.840000 - 0:12:15.840000
Da, znači htjeli biste kontrapoziciju i modus ponens na to. Jel tako?;0:12:19.840000 - 0:12:24.340000
Jel se to zove modus ponens? Ne, neće. Nije ovo.;0:12:24.840000 - 0:12:28.840000
Drugim rječima nije ni ovo. Jer ne može biti ovo i ne ovo. Jel?;0:12:29.340000 - 0:12:33.340000
Znači mora ovoga tu vrijediti, sad nemam više di pisati, ali mora vrijediti ovoga...;0:12:33.840000 - 0:12:41.340000
Ajde zapravo tu ću dolje napisati.;0:12:43.340000 - 0:12:44.840000
Mora vrijediti ne boks od P.;0:12:45.840000 - 0:12:50.340000
Ali vidite to smo već negdje imali. Jel? Ovaj ne boks od P smo već imali.;0:12:50.840000 - 0:12:55.340000
O tome smo pričali. Dobro? Pa se sad skoro...;0:12:55.840000 - 0:12:58.340000
Kao da smo se vratili u identičnu situaciju.;0:12:59.340000 - 0:13:02.340000
Ali ne još baš. Zašto?;0:13:02.840000 - 0:13:05.340000
Zato što sad imamo sljedbenika od V na kojem nije P. Jel tako?;0:13:05.840000 - 0:13:10.840000
E kaj ja znam, ajde V kaj dođe U.;0:13:15.340000 - 0:13:18.340000
Ne, nije baš, ali... Dobro, U.;0:13:19.340000 - 0:13:21.840000
Ovoga na njemu nije P, recimo. Uredno.;0:13:22.340000 - 0:13:25.340000
Ali pazite, ja bi sad htio ovo primijeniti koji prije.;0:13:25.840000 - 0:13:29.340000
Ali ja to nemam. Ja to imam samo za sljedbenike od duploga V.;0:13:29.840000 - 0:13:34.340000
Ovdje ne možemo pretpostaviti transitivno sada. Dobro? Ne možemo.;0:13:34.840000 - 0:13:39.340000
Na koju foru ću sad ispovezati duplo V sa U?;0:13:40.340000 - 0:13:44.340000
Ne znam.;0:13:44.840000 - 0:13:46.340000
Ne znam, ne znam.;0:13:52.840000 - 0:13:54.340000
Ok, pa...;0:13:56.340000 - 0:13:57.340000
Aha, joj, isprečavam se. Pa da, imamo transitivnost.;0:13:57.840000 - 0:14:00.840000
Da. Onda sam trebao to drugčije pitati, ali ne, veze.;0:14:01.340000 - 0:14:05.340000
Ok, pardon. Imamo transitivnost. Da. Dobro, dobro.;0:14:05.840000 - 0:14:09.340000
Ok. E sad smo fakat u istoj situaciji u kojoj smo bili, jel tak?;0:14:10.840000 - 0:14:14.340000
I sad ću reći, ok, tu je moj sljedbenik, jedan od duplog V-a,;0:14:14.840000 - 0:14:18.840000
a na svima vrijedi ovo, pa vrijedi i na njemu.;0:14:19.340000 - 0:14:21.340000
I ono, samo na temelju toga sam se tu nastavio gibati i idem dalje.;0:14:23.340000 - 0:14:26.840000
E, ali onda imam beskodački lanac.;0:14:27.340000 - 0:14:29.340000
To je kontradikcija sa inverznom dobrom u tebelje doću.;0:14:29.840000 - 0:14:35.340000
Dobro? Jer baš, ono, kaže, ne postoji. Uredno?;0:14:35.840000 - 0:14:39.840000
Evo. Znači, čisto da vidite kakvom izgledaju takvi dokaze,;0:14:40.340000 - 0:14:43.840000
to će biti dobro. S time da...;0:14:43.840000 - 0:14:45.840000
Sad, rekao bim, možda je to malo jednostavniji smjer, jel?;0:14:47.340000 - 0:14:52.840000
Znači, odavde ovamo...;0:14:52.840000 - 0:14:54.840000
Pa, dobro, ajde. Nevažno.;0:14:55.840000 - 0:14:58.840000
Uglavnom, u ovim konkretnim propozicijama će vrijediti obrate za okvire.;0:14:59.340000 - 0:15:06.840000
S time da sad negako definabilnost koju ćemo gledat,;0:15:07.840000 - 0:15:11.340000
znači, ona dopušta puno više od samo jedne formule. Uredno?;0:15:12.340000 - 0:15:15.840000
Znači, tu vidite da su okarakterizirane klase okvira;0:15:16.340000 - 0:15:21.340000
pomoću jedne formule. Uredno?;0:15:21.840000 - 0:15:24.340000
A mogli biste zamisliti pet formula. Mogli biste beskonačno.;0:15:24.840000 - 0:15:27.840000
E sad, ak ih je pet i ak je dozvoljena jedna, to je potpuno identično.;0:15:28.340000 - 0:15:32.340000
Jer ja mogu konjunkciju napisati i to je sad jedna formula postala.;0:15:32.840000 - 0:15:36.840000
Ali ne mogu pisati beskonačne konjunkcije. Dobro?;0:15:37.340000 - 0:15:39.340000
Pa onda kad se pita je li se nešto radi jednom formulom ili skupom formula,;0:15:39.340000 - 0:15:45.840000
onda se hoće reći konačno formula vs. beskonačno formula. Uredno?;0:15:46.340000 - 0:15:50.840000
Znači, govorit ćemo o definabilnosti skupom formula,;0:15:51.840000 - 0:15:55.340000
a to što smo za sad imali sreće sa svojstvima koja su nas zanimala,;0:15:55.840000 - 0:15:58.840000
to je druga priča.;0:15:58.840000 - 0:16:00.340000
Evo, znači, rekli smo vrijede tu i obrati i reći ćemo onda da,;0:16:02.340000 - 0:16:05.840000
kad je tak, znači kad stvarno imam i jedan i drugi smjer,;0:16:05.840000 - 0:16:09.840000
da formula definira i sad ja bih tu napisao refleksivnost okvira,;0:16:10.340000 - 0:16:14.840000
da bude puno ono, žešće, da stvarno to samo za okvire imamo. Uredno?;0:16:14.840000 - 0:16:19.840000
Znači, neće definirati refleksivnost modela kao što smo vidjeli.;0:16:20.840000 - 0:16:24.340000
I sad je pitanje je li se to može uopće? Dobro?;0:16:25.340000 - 0:16:27.840000
Znači, je li to modelno definabilno svojstvo?;0:16:27.840000 - 0:16:30.340000
Hoće li i beskonačno formula biti dosta?;0:16:30.340000 - 0:16:32.840000
Ok. Idemo pričat sad o modelnoj definabilnosti ovak pošteno.;0:16:33.340000 - 0:16:38.840000
Uzmem si skup sigma modelnih formula, pisat ću MV forsira sigma;0:16:40.340000 - 0:16:45.840000
ako su sve formule i sigma istinite na MV, dobro, na tom točkom na modelu.;0:16:46.340000 - 0:16:50.840000
Ili na svijetu duplo V u modelu M, ja obično kažem.;0:16:51.340000 - 0:16:54.340000
Slično, naravno, za globalnu istinitost na modelu i za valjanost na okviru.;0:16:54.840000 - 0:16:59.840000
Nemamo tu baš. Mogli biste možda vi pričati o točkovnim okvirima F duplo V,;0:17:00.340000 - 0:17:06.840000
pa onda istinitost ili valjanost na tom točkovnom okviru bi bila;0:17:06.840000 - 0:17:11.840000
kad god stavite neku valuaciju, dobro.;0:17:11.840000 - 0:17:13.840000
To obično ne gledamo, znači, bar u ovim slajdovima ne govorimo;0:17:13.840000 - 0:17:17.840000
o točkovnim okvirima, nego il je nekaj valjano na okviru ili nije.;0:17:17.840000 - 0:17:21.340000
Ok. Oznake će biti ovakve. Znači, ako mi sigma definira;0:17:22.840000 - 0:17:29.340000
