Speech;Timestamp
Dakle, samo da se tu malo vratim.;0:00:00 - 0:00:04
Gdje bismo bili? Aha, tu!;0:00:04 - 0:00:08
Evo, znači, iz nekog razloga sam pomislio da imamo taj jedan smjer.;0:00:08 - 0:00:12
Nije da ga baš, ono, djelomično ga imamo.;0:00:12 - 0:00:17
Samo ću malo ispričat.;0:00:17 - 0:00:21
Ono, opet trebamo nacrtati nekakvi kvadratić koji u većini dokaza koje tu radimo.;0:00:23 - 0:00:28
Iz modalne logike.;0:00:28 - 0:00:32
Znači, ovaj smjer s lijeva na desno je jednostavan.;0:00:34 - 0:00:39
Znači, ako je formula f od x ekvivalentna standardnoj translaciji neke modalne formule,;0:00:39 - 0:00:48
evo, nekakav fi tu dođe u igru.;0:00:48 - 0:00:53
Dobro? I sad, ajde recimo, možemo još konkretizirati.;0:00:53 - 0:00:58
Sad, nemojte preozbiljno slačati ovaj znak, dobro?;0:00:58 - 0:01:02
Znači, imamo f od x duplo v ako i samo ako,;0:01:02 - 0:01:07
naravno, na m je istinita f od x duplo v,;0:01:07 - 0:01:14
ako i samo ako je na m istinita stx fi opet valuirano sa duplo v.;0:01:14 - 0:01:24
E sad, šta smo rekli?;0:01:24 - 0:01:30
Znači, ako je na duplo v istina fi, jel?;0:01:30 - 0:01:37
I imamo bisimulaciju z između svijeta duplo v i svijeta duplo v crta.;0:01:37 - 0:01:44
Onda će šta na duplo v crta također biti istinita fi, jel tako?;0:01:47 - 0:01:52
Drugim riječima, ovo tu, i sad, sjetite se onoga šta smo bili rekli prethodno.;0:01:53 - 0:02:00
Vidite, isto je da je na duplo v forsira na fi i da je na strukturi prvog reda,;0:02:01 - 0:02:11
odnosno m kao strukturi prvog reda, istinita stx fi gdje je x valuirano sa duplo v.;0:02:11 - 0:02:18
Znači, budući imamo duplo v forsira fi u bisimulaciji sa duplo v crta,;0:02:18 - 0:02:26
odnosno na duplo v crta istinita fi, imamo ove komade.;0:02:26 - 0:02:31
Ako i samo ako, na m istinita stx fi valuirano sa duplo v crta.;0:02:31 - 0:02:40
Dobro, a naravno ovo tu iz istog razloga kao i ovo.;0:02:43 - 0:02:47
Ekvivalentno, m.;0:02:48 - 0:02:54
Znači, ekvivalentne su ono kao univerzalno zatvorenje, ali onda posebno i tu.;0:02:57 - 0:03:02
Dobro.;0:03:02 - 0:03:04
Pa ćemo zapravo dobiti da je ovoga,;0:03:06 - 0:03:09
dobit ćemo da je formula f od x invarijantna na bisimulacije,;0:03:14 - 0:03:17
čim je ekvivalentna standardne translaciji neke modelne formule.;0:03:17 - 0:03:21
Ono što je teško, strašno teško, je ako imate, i zato bez dokaza,;0:03:21 - 0:03:28
ako imate formulu invarijantnu na bisimulacije, da onda zaista možete naći;0:03:28 - 0:03:35
modelnu formulu, čija će standardna translacija biti ekvivalentna ove.;0:03:35 - 0:03:40
U redu, tu treba nešto smisliti, a ovdje samo treba ovak provjeriti nešto;0:03:40 - 0:03:44
ovisno ove naše leni.;0:03:44 - 0:03:46
Aha, sad sam malo predaljko otišao.;0:03:50 - 0:03:53
Ok, jeste možda razmislili o ovome? Zašto su svijet i njime određen glavni;0:03:53 - 0:04:02
filtar, ultrafiltar proširenju, modelno ekvivalentni?;0:04:02 - 0:04:06
Kak bi smo to iz ovoga direktno dobili?;0:04:06 - 0:04:09
Znači šta, ovo duplove u, to su svi odskupovi od duplove;0:04:23 - 0:04:51
takvi da je mali duplove iz A.;0:04:51 - 0:04:54
Je li tako? I sad nas zanima koje su to formule fi,;0:04:56 - 0:05:04
koje su istinite na duplove u.;0:05:06 - 0:05:09
Odnosno mogli bismo reći da je V od fi element od duplove u.;0:05:10 - 0:05:30
Je li tako?;0:05:30 - 0:05:32
E sad, znači kad će duplo V od fi biti element od duplove u?;0:05:39 - 0:05:47
