Speech;Timestamp
Ako je tehnička podrška spremna?;0:00:00 - 0:00:02
Ok, super.;0:00:02 - 0:00:04
Dobro, dakle, dobrodošli na kolegi Matematička logika i računarstvo.;0:00:06 - 0:00:11
To je, kao što znate, pristupni kolegi na doktorskom studiju.;0:00:11 - 0:00:16
Sluša se ovdje u Zagrebu, ali može se slušati i na doktorskim studijima;0:00:16 - 0:00:24
širom Hrvatske jer se prenosi preko interneta.;0:00:24 - 0:00:28
Zamišljeno je kao pristupni kolegi, dakle kao nekakav sveobuhvatni kolegi;0:00:28 - 0:00:35
koji će vam približiti i možda na neki način ponoviti neke stvari;0:00:35 - 0:00:41
iz logike i računarstva koje ste već čuli.;0:00:41 - 0:00:44
I možda, mislim, svakako produbiti neka znanja.;0:00:44 - 0:00:48
Uglavnom je zapravo zamišljen kao da možete kao doktorski student;0:00:48 - 0:00:55
imati, da vaši mentori ili što već mogu predpostaviti,;0:00:55 - 0:01:01
ljudi s kojima ćete surađivati, da mogu predpostaviti da imate;0:01:01 - 0:01:05
nekakvu opću kulturu matematičke logike i računarstva.;0:01:05 - 0:01:09
Odmah ću reći što se tiče, to je ono što sam sad rekao,;0:01:09 - 0:01:14
je bilo platonistički ideal. Sad, naravno, u stvarnom svijetu;0:01:14 - 0:01:18
tu će biti, ja bih rekao, puno više logike nego računarstva,;0:01:18 - 0:01:22
ali rekao bih da će i računarstvo biti dovoljno.;0:01:22 - 0:01:26
Ali za to ću se više pobrinuti. Drugi predavač, Marko Horvat,;0:01:26 - 0:01:30
koji će držati drugu polovicu, kolege, ja ću držati ovu prvu.;0:01:30 - 0:01:33
Dakle, uglavnom će to biti nekakva teorija modela i teorija dokaza.;0:01:33 - 0:01:37
Krenimo sa nekakvim općim informacijama.;0:01:37 - 0:01:45
Tu piše teorija modela, nešto modelne logike, teorija dokaza,;0:01:45 - 0:01:50
a onda ove više računarske stvari. Dobro, gedelovi teorije su tu isto,;0:01:50 - 0:01:55
