Speech;Timestamp
Ovo je naša prva kriterija za eliminaciju kvantifikatora.;0:00:00 - 0:00:07
Ovo je naša prva kriterija za eliminaciju kvantifikatora.;0:00:08 - 0:00:14
Dobro.;0:00:15 - 0:00:17
Pojmo dalje.;0:00:21 - 0:00:22
Dakle, evo, kriteriji za eliminaciju kvantifikatora.;0:00:22 - 0:00:27
Dakle, ne za teoriju, nego za jednu konkretnu formulu.;0:00:27 - 0:00:31
Ako to možete za sve formule, onda zapravo imate teoriju;0:00:31 - 0:00:34
koja je dopušta za eliminaciju kvantifikatora.;0:00:34 - 0:00:37
Dakle, imate nekakvu formulu u, naravno, signaturi teorije T,;0:00:37 - 0:00:42
sa n slobodnih variabli i iz nje se mogu eliminirati kvantifikatori;0:00:42 - 0:00:47
ako i samo ako vrijedi ovo tu.;0:00:47 - 0:00:49
E sad, šta to kaže?;0:00:49 - 0:00:51
To kaže ovo, ako imaš dva modela za teoriju;0:00:51 - 0:00:54
i imaš njihove izomorfne podmodele, dakle,;0:00:54 - 0:00:58
n vrijedi T, n vrijedi T, imaš podmodel m0 i imaš podmodel n0;0:00:59 - 0:01:12
i oni su izomorfni,;0:01:12 - 0:01:14
da bi se ovako dajde,;0:01:15 - 0:01:17
po nekakvom izomorfizmu F.;0:01:18 - 0:01:21
Onda zapravo, to je ova priča kao za, šta, kao za jaki,;0:01:24 - 0:01:32
ne, za jaki, nego za ovaj obični homomorfizam.;0:01:33 - 0:01:37
Dakle, izomorfizam između ovih je zapravo homomorfizam;0:01:37 - 0:01:43
između ovih velikih.;0:01:43 - 0:01:46
Dakle, ali pazite, univerzalno,;0:01:53 - 0:01:56
kad god imaš nekakve izomorfne podmodele,;0:01:57 - 0:02:00
taj izomorfizam se zapravo proši, mislim, krivo reći homomorfizam,;0:02:01 - 0:02:09
jer naravno to vrijedi samo za ove koji su iz nosača ovog manjeg.;0:02:09 - 0:02:14
Dakle, nije da ja sad moram proširivati F na domenu,;0:02:14 - 0:02:18
na nosač čitavog ovog M-a, ali dakle, do na to,;0:02:18 - 0:02:22
to je kao ideja o homomorfizmu.;0:02:23 - 0:02:26
Da, znači nije dovoljno da ja nađem nekakve,;0:02:35 - 0:02:38
M0, N0, F i tako to, tako da to vrijedi,;0:02:39 - 0:02:43
nego zapravo kad god su M0, N0, M1 i F takvi,;0:02:43 - 0:02:47
onda vrijedi ovo svojstvo.;0:02:47 - 0:02:50
Dobro.;0:02:50 - 0:02:51
Znači, ak se iz formule mogu eliminirati kvantifikator i da je to dobro?;0:02:55 - 0:02:58
Mislim, naravno, jer tu je ova priča M0 je podmodel od M i N0 je podmodel od N.;0:02:58 - 0:03:04
Znači, jednostavno, ako ja tu imam nekakve ove A1 do A N,;0:03:04 - 0:03:09
oni, ako i jesu interpretacije nekih konkretnih konstantskih simbola,;0:03:12 - 0:03:17
s obzirom na to da je podmodel,;0:03:17 - 0:03:19
bit će interpretacija istih konstantskih simbola i ovdje.;0:03:19 - 0:03:22
Ako su vrijednosti nekih zatvorenih terma,;0:03:22 - 0:03:24
bit će vrijednosti tih istih zatvorenih terma i ovdje.;0:03:24 - 0:03:27
Znači, to je upravo ideja podmodela.;0:03:27 - 0:03:30
A sad, kak znam da formule vrijede?;0:03:31 - 0:03:35
Pa tako što formule zapravo smijem predpostaviti ono kao...;0:03:36 - 0:03:40
Da, ovdje kao piše, za svaku formulu F,;0:03:43 - 0:03:45
nije čak i napisano, ali podrozumije se,;0:03:45 - 0:03:47
ali zapravo smijem predpostaviti da je za svaku otvorenu formulu F.;0:03:47 - 0:03:53
A otvorene formule jesu buovske kombinacije atomarnih,;0:03:54 - 0:03:57
a za atomarne to slijedi po ideji homorfizma.;0:03:57 - 0:04:02
Kad u M vrijedi nekakav F, onda vrijedi i gore.;0:04:08 - 0:04:14
A, ne mogu kao F jer F možda nije otvorena,;0:04:16 - 0:04:19
ali F je unutar teorije T ekvivalentna nekoj otvorenoj,;0:04:19 - 0:04:23
a unutar teorije T zapravo znači u svim modelima od T,;0:04:23 - 0:04:26
pa specijalno u modelu M0 i u modelu M i tako dalje.;0:04:26 - 0:04:30
Dakle, da, u M zapravo. U M vrijedi F, pa onda vrijedi i g,;0:04:32 - 0:04:37
ali g je otvorena i za podmodele se otvorene formule čuvaju.;0:04:37 - 0:04:41
To smo zapravo čak i napravili, ja mislim, kao za osobni rezultat.;0:04:41 - 0:04:46
Dobro, i onda zapravo, znači, a da, ako ja imam tu, onda imam i tu.;0:04:46 - 0:04:54
E, onda imam i tu, naravno, jer tu F je izomorfizam,;0:04:54 - 0:04:58
dakle, tu nije problem. Samo kaže da tu sigurno moram ih preimenovati.;0:04:58 - 0:05:07
F od A1, ali sve budelje potpuno isto.;0:05:07 - 0:05:14
E, i sad opet, podmodel, znači, gore, opet sa obzirom na to da se radi o formuli koja je otvorena,;0:05:14 - 0:05:25
bez kvantifikatora, to sve štima.;0:05:25 - 0:05:28
I opet, dakle, u T su F i G ekvivalentne, dakle, u svakom modelu od T su F i G ekvivalentni,;0:05:34 - 0:05:41
a i nije model za T i gotovo. Taj smjer je stvarno jednostavan.;0:05:41 - 0:05:48
E, a ovdje, nećemo čak zapravo onih dokazati, ali, veli, koristit ćemo pomoć u otvorenju,;0:05:49 - 0:05:55
čiji dokaz ispuštamo. Lema kaže zapravo ovako nešto.;0:05:55 - 0:06:00
Ima nekakvu teoriju koja je zatvorena s obzirom na relaciju logičke posteljice.;0:06:00 - 0:06:05
Dakle, zapravo, ono, možemo reći, ne samo da su nekakvi aksijomi za neku teoriju,;0:06:05 - 0:06:09
nego i sve njihove logičke posteljice. Dobro.;0:06:09 - 0:06:13
Fi je nekakva sigma-formula i S je nekakav skup formula zatvoren za disjunkciju,;0:06:15 - 0:06:22
čije je slobodne varjable... Previše toga tu sad...;0:06:23 - 0:06:27
Dobro, ništa, ajde. Jednako ne trebamo to dokazati,;0:06:32 - 0:06:36
samo trebamo absorbirati što to zapravo će reći.;0:06:37 - 0:06:39
Dobro, znači, T je teorija, zatvorena s obzirom na logu.;0:06:39 - 0:06:50
Fi je nekakva formula sa m slobodnih varjable u istoj signatori.;0:06:51 - 0:07:01
I S je nekakav skup zatvoren na disjunkciju.;0:07:02 - 0:07:12
Dobro, aha, i slobodne varjable su mu x1 do xm.;0:07:17 - 0:07:21
Dakle, nešto kao mTip, mTip samo ne je zatvoren na konjunkciju, nego na disjunkciju.;0:07:32 - 0:07:38
No, dobro. I sad kaže, ove dvije tvrnje su ekvivalentne.;0:07:39 - 0:07:47
Prva tvrnja kaže...;0:07:50 - 0:07:52
Da je formula Fi, znači ovo o kojoj gore pričam,;0:07:53 - 0:08:02
ili univerzalno istinita, ili univerzalno lažna,;0:08:02 - 0:08:07
ili univerzalno ekvivalentna nekoj konjunkciji elementa iz S.;0:08:07 - 0:08:12
Dakle, to nas sad već podsjeća na disjunktivnu normalnu formu,;0:08:12 - 0:08:16
ali, dakle, možemo reći ovo je kao nekakva možda savršena,;0:08:16 - 0:08:19
a ovo su neki specijalni slučajevi.;0:08:19 - 0:08:21
Znači, u teoriji T vrijedi univerzalno zatvorena Fi,;0:08:23 - 0:08:31
ili u teoriji T vrijedi univerzalno zatvorena ne Fi,;0:08:31 - 0:08:37
ili u teoriji T vrijedi...;0:08:37 - 0:08:41
opet univerzalno zatvoreno...;0:08:42 - 0:08:45
Fi je ekvivalentno sa konjunkcijom i1 do k Fi i,;0:08:45 - 0:08:52
gdje su Fi i elementi iz ovog skupa S.;0:08:52 - 0:08:57
To je tvrnja 1.;0:08:58 - 0:09:00
A tvrnja 2 kaže ovako.;0:09:02 - 0:09:04
Tvrnja 2 kaže više manje ovo, samo ne za neke konkretne M0 i S0,;0:09:04 - 0:09:15
nego jednostavno imaš nekakvih M...;0:09:15 - 0:09:19
Aha, ok. Znači, ako u M vrijedi Fi,;0:09:28 - 0:09:33
znači M i N su nekakvi modeli za T.;0:09:34 - 0:09:40
U M još vrijedi Fi sa nekakvim konkretnim objektima a1 do a1.;0:09:44 - 0:09:57
I kaže, za te konkretne objekte vrijedi ti ovo kao da ih preslikam po homošizmu.;0:09:58 - 0:10:05
Mislim, mogu zapravo reći ono, kao da su mi M0 je zapravo,;0:10:05 - 0:10:12
mislim, naravno, kako bi se to napisao,;0:10:12 - 0:10:14
ali njegov nosač je samo a1 do am.;0:10:14 - 0:10:21
A onda, naravno, dalje generiram podmota,;0:10:22 - 0:10:25
šta to već znači, restringiram konstantske, relacijske, šta već treba, funkcijske simbole,;0:10:25 - 0:10:30
ali, dakle, kao da ne imam ništa drugo u tom M0, osim baš tih M objekata,;0:10:30 - 0:10:36
i isto tako N0 na drugoj strani.;0:10:36 - 0:10:39
I onda, naravno, mislim, ja uvijek mogu napravit' trivialno ovo preslikavanje F,;0:10:39 - 0:10:43
tako da jednostavno svaki pojedini a preslikam u b.;0:10:43 - 0:10:46
Znači, jednostavno, predpostavka mi je da takvo preslikavanje F,;0:10:46 - 0:10:51
F preslikava a u b, a i u bi, je izomorfizam, ali zapravo čak manje.;0:10:51 - 0:10:58
Predpostavka je zapravo da je kao homomorfizam,;0:10:58 - 0:11:01
i to ne za sve formule, nego samo za formule iz S.;0:11:01 - 0:11:04
