Speech;Timestamp
Što je čujem?;0:00:00 - 0:00:02
Treba ovdje.;0:00:02 - 0:00:04
Dobro.;0:00:04 - 0:00:06
Dobro.;0:00:06 - 0:00:08
Aha.;0:00:16 - 0:00:18
Vektor.;0:00:18 - 0:00:20
Ako se ne znaš,;0:00:24 - 0:00:26
ne znam.;0:00:26 - 0:00:28
Ako se ne znam, ne znam.;0:00:28 - 0:00:30
Dobro.;0:00:58 - 0:01:00
Dobro. Možemo početi.;0:01:02 - 0:01:04
Ok. Znači,;0:01:04 - 0:01:06
tu smo stali;0:01:06 - 0:01:08
prošle godine.;0:01:08 - 0:01:10
Dakle,;0:01:10 - 0:01:12
Walsh's theorem o ultraproduktima;0:01:14 - 0:01:16
zapravo ovak';0:01:16 - 0:01:18
kako smo ga mi;0:01:18 - 0:01:20
iskazali je;0:01:20 - 0:01:22
korolar;0:01:22 - 0:01:24
ovog općenitog teorema;0:01:24 - 0:01:26
koju smo dokazali, ali naravno zapravo;0:01:26 - 0:01:28
najčešće;0:01:28 - 0:01:30
je važno za rečenice;0:01:30 - 0:01:32
to gledat', ne za;0:01:32 - 0:01:34
općenite formule, ali;0:01:34 - 0:01:36
da bi se dokazalo za rečenice;0:01:36 - 0:01:38
zapravo treba dokazat';0:01:40 - 0:01:42
za općenite formule;0:01:42 - 0:01:44
i onda samo vidjet';0:01:44 - 0:01:46
specijalni slučaj. Naravno, kad imate općenite formule;0:01:46 - 0:01:48
onda su komplicirane ove valuacije,;0:01:48 - 0:01:50
pa inducirane valuacije;0:01:50 - 0:01:52
nekom familijom valuacija;0:01:52 - 0:01:54
i tako treba vidjet' šta se tu zapravo zbiva.;0:01:54 - 0:01:56
To je nekakvo gledanje;0:01:56 - 0:01:58
dvodimenzionalne tablice,;0:01:58 - 0:02:00
jedna po indeksima;0:02:00 - 0:02:02
samih struktura, druga po;0:02:02 - 0:02:04
indeksima variabli koje se pojavljuju,;0:02:04 - 0:02:06
ali je;0:02:06 - 0:02:08
komplicirano jer stvari koje su;0:02:08 - 0:02:10
unutra nisu striktno;0:02:10 - 0:02:12
određene, nego su fazi s obzirom na to;0:02:12 - 0:02:14
da imate;0:02:14 - 0:02:16
elemente filtera;0:02:18 - 0:02:20
unutra, odnosno;0:02:20 - 0:02:22
nekakve glasove;0:02:22 - 0:02:24
koji glasaju;0:02:24 - 0:02:26
za to kolika će bit' valuacija;0:02:26 - 0:02:28
na nekakve variabli.;0:02:28 - 0:02:30
Dobro, ali kažem, to smo sve;0:02:30 - 0:02:32
napravili i zapravo ovo je;0:02:32 - 0:02:34
ono što treba;0:02:34 - 0:02:36
zabaviti, što ćemo koristiti.;0:02:36 - 0:02:38
Dakle, nekako kao što smo;0:02:40 - 0:02:42
