Speech;Timestamp
Dakle, dokažem ekvivalenciju ove tri tvrdnje.;0:00:00 - 0:00:05
F je ultrafilter, F je maksimalan među pravima,;0:00:06 - 0:00:10
dakle, predpostavka propozicije je da je pravi,;0:00:10 - 0:00:14
i ima ovo svojstvo unije.;0:00:14 - 0:00:17
Dakle, malo bih smo ići u krug, ali mislim da zapravo nema potrebe,;0:00:20 - 0:00:24
jer ova tvrdnja i jena je zapravo nekako najlakša za raditi.;0:00:24 - 0:00:28
Dakle, F je pravi.;0:00:28 - 0:00:31
Jedan kaže F je ultrafilter,;0:00:34 - 0:00:37
dva kaže F je maksimalan među pravima,;0:00:39 - 0:00:43
znači nema pravi njegov nadskup koji je pravi filtr još uvijek, jel'o?;0:00:49 - 0:00:53
I treće, x unija y je elemento def,;0:00:54 - 0:01:01
ako je samo F je x elemento def, ili y elemento def.;0:01:01 - 0:01:07
Dobro, da sam sad bih nešto raspisivao, mislim da sve imam.;0:01:12 - 0:01:16
Dakle, zapravo ćemo dokazati ekvivalenciju 1 sa 2;0:01:16 - 0:01:22
i ekvivalenciju 1 sa 3.;0:01:22 - 0:01:24
Znači, imam da je F ultrafilter i pretpostavim da nije maksimalni među pravima,;0:01:26 - 0:01:32
znači pretpostavim da postoji nekakav F crtica, pravi nadskup pod F,;0:01:32 - 0:01:40
takav da je F crtica također pravi filtr.;0:01:40 - 0:01:47
Zašto je to nemoguće? Pa zato što je ovaj ultrafilter, sad kako?;0:01:48 - 0:01:53
Znači, ovako, činjenica da je pravi nadskup znači da ima netko,;0:01:53 - 0:01:59
postoji nekakav x koji se nalazi u F crtica, ali se ne nalazi u F.;0:02:00 - 0:02:05
I sad, naravno, ako se x ne nalazi u F, F je ultrafilter,;0:02:06 - 0:02:12
iz toga slijedi da se i bez x nalazi u F.;0:02:13 - 0:02:18
Komplement, ali komplement, F je podskup od F crtica, pa imam da se i bez x nalazi u F crtica.;0:02:19 - 0:02:29
I što sad imam? Imam dvojicu u F crtica, evo ga, x je u F crtica i i bez x je u F crtica,;0:02:29 - 0:02:36
znači njihov presjek je također u F crtica.;0:02:36 - 0:02:39
Međutim, naravno, i x i i bez x su disjunktni,;0:02:42 - 0:02:48
to je kontradikcija sa činjenicom da je F crtica pravi filtr,;0:02:50 - 0:02:56
upravo sam našao prazan skup u njemu, znači ako je prazan onda su i svi unutra.;0:02:56 - 0:03:01
Dobro,;0:03:02 - 0:03:03
povlači 3, znači što moram dokazati, neko je kvalenciju, ako i samo ako.;0:03:07 - 0:03:13
Međutim, unutar ovog 3 smjer ovaj je trivialan jer naravno x unija y je nadskup i od x i od y,;0:03:13 - 0:03:26
čim imaš da je x u F, odmah imaš da je x unija y u F po zatvorenosti nadskupove.;0:03:26 - 0:03:31
Isto tako da imaš da je y u F, odmah imaš da je x unija y u F po zatvorenosti nadskupove.;0:03:31 - 0:03:37
Dakle, to je trivialno. E sad, naravno, ovaj drugi smjer je u njemi.;0:03:37 - 0:03:40
Što trebam dokazati? Trebam dokazati da iz ovoga slijedi ovo ili ovo.;0:03:41 - 0:03:44
Pretpostavim da to ne vrijedi,;0:03:44 - 0:03:46
pretpostavimo suprotno, e sad što znači suprotno od a slijedi b ili c,;0:03:49 - 0:03:53
znači vrijedi a, ne vrijedi b i ne vrijedi c.;0:03:53 - 0:03:56
